Departamento,Garantias,Garantia
Bogotá D.C,250743,1483595182273
Antioquia,153689,963740715594
Valle del Cauca,127541,801555957448
Santander,66183,415223872248
Cundinamarca,65781,426505970338
Atlántico,53155,329356980259
Nariño,46724,306731289539
Tolima,44581,289032729457
Boyacá,39402,248805715110
Huila,39053,253035500354
Bolívar,37839,240468093056
Córdoba,33907,221798101268
Meta,31687,202793561554
Norte de Sant.,28786,184641851139
Cauca,28141,184396594679
Magdalena,27863,183515090571
Risaralda,27439,170215341648
Caldas,27023,172943086764
Cesar,25026,162598943784
Sucre,21861,145264245273
Quindio,18789,121066184832
La Guajira,12934,85497181690
Caquetá,12605,80055476338
Casanare,12449,78592635475
Putumayo,11451,75302890804
Arauca,7624,46707180665
Chocó,6403,41680527352
"Arch. San Andrés",1969,11094459299
Guaviare,1878,12454013969
Amazonas,1141,7063781038
Guainía,612,4271662535
Vaupés,599,4137068433
Vichada,334,2138239218
